,Mobile_name,Processor,Storage,Screen_Length,Camera,Battery,Warranty,Rating & Reviews, Discount
0,"realme 11x 5G (Midnight Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,"12,980 Ratings & 1,901 Reviews",11% off
1,"OPPO Reno10 5G (Ice Blue, 256 GB)",17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,"57,199 Ratings & 3,129 Reviews",15% off
2,"POCO C51 (Royal Blue, 64 GB)",64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,"57,199 Ratings & 3,129 Reviews",35% off
3,"POCO C51 (Power Black, 64 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,"53,917 Ratings & 2,600 Reviews",35% off
4,"POCO C50 (Royal Blue, 32 GB)",Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,"2,829 Ratings & 243 Reviews",38% off
5,"REDMI 12 (Moonstone Silver, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"38,664 Ratings & 2,250 Reviews",28% off
6,"POCO C55 (Cool Blue, 128 GB)",8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,269 Ratings & 42 Reviews,39% off
7,"OPPO Find N2 Flip (Moonlit Purple, 256 GB)",17.02 cm (6.7 inch) Full HD+ Display,17.02 cm (6.7 inch) Full HD+ Display,17.02 cm (6.7 inch) Full HD+ Display,17.02 cm (6.7 inch) Full HD+ Display,17.02 cm (6.7 inch) Full HD+ Display,17.02 cm (6.7 inch) Full HD+ Display,"38,664 Ratings & 2,250 Reviews",10% off
8,"POCO C55 (Power Black, 128 GB)",64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,"2,829 Ratings & 243 Reviews",39% off
9,"REDMI 12 (Pastel Blue, 128 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,915 Ratings & 85 Reviews,28% off
10,"POCO M6 Pro 5G (Power Black, 128 GB)",Dimensity 7050 Processor,Dimensity 7050 Processor,Dimensity 7050 Processor,Dimensity 7050 Processor,Dimensity 7050 Processor,Dimensity 7050 Processor,"63,821 Ratings & 3,115 Reviews",23% off
11,"realme 11x 5G (Purple Dawn, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"63,821 Ratings & 3,115 Reviews",15% off
12,"realme 11x 5G (Purple Dawn, 128 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"63,821 Ratings & 3,115 Reviews",11% off
13,"realme 11x 5G (Midnight Black, 128 GB)",16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,"63,821 Ratings & 3,115 Reviews",15% off
14,"Infinix SMART 7 (Azure Blue, 64 GB)",8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,"63,821 Ratings & 3,115 Reviews",30% off
15,"Infinix SMART 7 (Emerald Green, 64 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,"17,973 Ratings & 888 Reviews",30% off
16,"Infinix SMART 7 (Night Black, 128 GB)",Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,"53,917 Ratings & 2,600 Reviews",30% off
17,"Infinix SMART 7 (Azure Blue, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"17,973 Ratings & 888 Reviews",30% off
18,"Infinix SMART 7 (Emerald Green, 128 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"63,821 Ratings & 3,115 Reviews",30% off
19,"realme C53 (Champion Gold, 64 GB)",16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,"9,264 Ratings & 719 Reviews",15% off
20,"realme 11x 5G (Midnight Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,269 Ratings & 42 Reviews,11% off
21,"OPPO Find N2 Flip (Moonlit Purple, 256 GB)",17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,"57,199 Ratings & 3,129 Reviews",10% off
22,"POCO C51 (Royal Blue, 64 GB)",64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,"57,199 Ratings & 3,129 Reviews",35% off
23,"POCO C51 (Power Black, 64 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,"53,917 Ratings & 2,600 Reviews",35% off
24,"POCO C50 (Royal Blue, 32 GB)",Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,"2,829 Ratings & 243 Reviews",38% off
25,"REDMI 12 (Moonstone Silver, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"38,664 Ratings & 2,250 Reviews",28% off
26,"POCO C55 (Cool Blue, 128 GB)",8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,"12,980 Ratings & 1,901 Reviews",39% off
27,"OPPO Reno10 5G (Ice Blue, 256 GB)",17.27 cm (6.8 inch) Full HD+ Display,17.27 cm (6.8 inch) Full HD+ Display,17.27 cm (6.8 inch) Full HD+ Display,17.27 cm (6.8 inch) Full HD+ Display,17.27 cm (6.8 inch) Full HD+ Display,17.27 cm (6.8 inch) Full HD+ Display,"2,829 Ratings & 243 Reviews",15% off
